url_len,host_len,path_len,n_dot,n_hyphen,n_us,n_slash,n_q,n_eq,n_at,n_amp,n_pct,n_dig,dig_ratio,n_spec,spec_ratio,has_ip,is_https,n_subdom,has_at,tld_len,longest_token,phishing
29,9,12,1,0,0,3,0,0,0,0,0,0,0.0,5,0.1724137931034483,0,1,0,0,2,11,1
59,18,34,2,1,0,7,0,0,0,0,0,3,0.05084745762711865,11,0.1864406779661017,0,0,0,0,3,14,1
34,25,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.17647058823529413,0,1,1,0,3,17,0
34,17,9,3,1,0,4,0,0,0,0,0,0,0.0,9,0.2647058823529412,0,1,2,0,2,7,0
59,20,31,2,3,0,4,0,0,0,0,0,0,0.0,10,0.1694915254237288,0,1,1,0,3,12,0
27,19,0,2,0,0,2,0,0,0,0,0,0,0.0,5,0.18518518518518517,0,1,1,0,6,8,1
44,15,21,3,0,0,5,0,0,0,0,0,0,0.0,9,0.20454545454545456,0,1,1,0,3,7,0
25,16,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.24,0,1,1,0,3,8,0
40,21,11,2,2,0,4,0,0,0,0,0,1,0.025,9,0.225,0,1,1,0,3,13,0
67,59,1,4,2,0,3,0,0,0,0,0,8,0.11940298507462686,10,0.14925373134328357,0,0,3,0,3,26,1
60,17,35,3,0,0,7,0,0,0,0,0,0,0.0,11,0.18333333333333332,0,1,1,0,5,7,1
63,19,12,3,0,0,4,1,1,1,0,0,1,0.015873015873015872,11,0.1746031746031746,0,1,0,1,3,15,1
22,6,8,1,0,0,3,0,0,0,0,0,2,0.09090909090909091,5,0.22727272727272727,0,1,0,0,2,7,1
35,12,15,2,1,0,4,0,0,0,0,0,0,0.0,8,0.22857142857142856,0,1,1,0,3,8,0
32,19,5,2,0,0,3,0,0,0,0,0,0,0.0,6,0.1875,0,1,1,0,3,11,0
40,25,7,2,0,0,3,0,0,0,0,0,0,0.0,6,0.15,0,1,1,0,3,17,0
46,19,19,2,1,0,4,0,0,0,0,0,9,0.1956521739130435,8,0.17391304347826086,0,1,1,0,3,9,1
109,20,82,3,1,0,9,0,0,0,0,0,22,0.2018348623853211,14,0.12844036697247707,0,0,1,0,2,32,1
40,20,12,2,1,0,4,0,0,0,0,0,2,0.05,8,0.2,0,1,1,0,3,12,0
53,29,10,3,0,0,4,0,0,0,0,0,0,0.0,9,0.16981132075471697,0,1,1,0,3,17,1
44,10,26,2,0,1,4,0,0,0,0,0,0,0.0,8,0.18181818181818182,0,1,0,0,2,12,1
37,20,10,1,0,0,4,0,0,0,0,0,0,0.0,6,0.16216216216216217,0,0,0,0,3,16,1
56,38,10,3,2,0,3,0,0,0,0,0,0,0.0,9,0.16071428571428573,0,1,1,0,3,13,1
46,18,20,2,1,0,4,0,0,0,0,0,0,0.0,8,0.17391304347826086,0,1,1,0,3,11,0
70,16,46,2,0,0,6,0,0,0,0,0,10,0.14285714285714285,9,0.12857142857142856,0,1,1,0,3,33,1
185,17,14,7,1,3,4,1,2,1,3,0,35,0.1891891891891892,23,0.12432432432432433,0,0,0,1,3,29,1
76,28,40,4,1,0,4,0,1,0,0,0,24,0.3157894736842105,11,0.14473684210526316,0,1,2,0,2,24,1
46,21,17,2,0,0,4,0,0,0,0,0,0,0.0,7,0.15217391304347827,0,1,1,0,2,14,0
47,25,14,2,1,0,5,0,0,0,0,0,0,0.0,9,0.19148936170212766,0,1,1,0,2,9,0
28,15,5,2,0,0,4,0,0,0,0,0,0,0.0,7,0.25,0,1,1,0,3,7,1
59,19,32,3,0,1,4,0,0,0,0,0,0,0.0,9,0.15254237288135594,0,1,1,0,3,11,0
67,59,1,4,2,0,3,0,0,0,0,0,8,0.11940298507462686,10,0.14925373134328357,0,0,3,0,3,26,1
42,20,14,3,1,0,4,0,0,0,0,0,0,0.0,9,0.21428571428571427,0,1,2,0,2,9,0
22,6,8,1,0,0,3,0,0,0,0,0,1,0.045454545454545456,5,0.22727272727272727,0,1,0,0,2,7,1
45,29,8,2,1,0,3,0,0,0,0,0,1,0.022222222222222223,7,0.15555555555555556,0,1,1,0,3,11,1
63,15,40,3,0,1,4,0,0,0,0,0,0,0.0,9,0.14285714285714285,0,1,1,0,3,13,0
90,77,6,3,1,0,4,0,0,0,0,0,29,0.32222222222222224,9,0.1,0,0,2,0,3,52,1
53,14,31,2,1,1,5,0,0,0,0,0,3,0.05660377358490566,10,0.18867924528301888,0,1,1,0,2,9,0
59,12,39,1,5,0,5,0,0,0,0,0,0,0.0,12,0.2033898305084746,0,1,0,0,2,9,0
65,34,23,20,1,0,4,0,0,0,0,0,0,0.0,26,0.4,0,1,1,0,3,11,1
67,43,17,4,0,1,4,0,0,0,0,0,0,0.0,10,0.14925373134328357,0,0,3,0,2,15,1
79,16,55,3,5,0,5,0,0,0,0,0,0,0.0,14,0.17721518987341772,0,1,2,0,2,8,0
84,36,40,3,4,0,5,0,0,0,0,0,30,0.35714285714285715,13,0.15476190476190477,0,1,2,0,3,32,1
35,12,16,2,1,0,4,0,0,0,0,0,0,0.0,8,0.22857142857142856,0,0,0,0,3,6,1
26,13,5,3,0,0,4,0,0,0,0,0,0,0.0,8,0.3076923076923077,0,1,1,0,2,6,1
52,27,5,3,1,0,4,1,1,0,0,0,8,0.15384615384615385,11,0.21153846153846154,0,1,2,0,5,8,1
24,5,12,1,0,0,3,0,0,0,0,0,2,0.08333333333333333,5,0.20833333333333334,0,0,0,0,2,11,1
457,35,48,3,13,3,7,1,5,0,4,0,101,0.2210065645514223,43,0.09409190371991247,0,1,1,0,3,188,1
42,18,16,3,0,0,3,0,0,0,0,0,0,0.0,7,0.16666666666666666,0,1,1,0,3,10,0
181,12,50,4,2,0,9,65,0,0,0,0,26,0.143646408839779,83,0.4585635359116022,0,0,0,0,3,40,1
62,17,20,3,1,0,4,1,2,0,1,0,0,0.0,14,0.22580645161290322,0,0,1,0,3,9,1
61,25,28,2,2,0,5,0,0,0,0,0,0,0.0,10,0.16393442622950818,0,1,1,0,3,17,0
40,19,13,2,1,0,5,0,0,0,0,0,0,0.0,9,0.225,0,1,1,0,2,12,1
127,26,93,2,7,1,5,0,0,0,0,0,28,0.2204724409448819,16,0.12598425196850394,0,1,1,0,4,17,1
38,16,14,3,0,0,4,0,0,0,0,0,0,0.0,8,0.21052631578947367,0,1,1,0,2,9,0
55,19,28,2,4,0,3,0,0,0,0,0,1,0.01818181818181818,10,0.18181818181818182,0,1,1,0,3,11,0
111,18,86,1,11,0,7,0,0,0,0,0,9,0.08108108108108109,20,0.18018018018018017,0,0,0,0,3,14,0
57,19,30,2,1,0,5,0,0,0,0,0,9,0.15789473684210525,9,0.15789473684210525,0,1,1,0,4,12,1
135,25,102,3,3,0,5,0,0,0,0,0,41,0.3037037037037037,12,0.08888888888888889,0,1,1,0,3,64,0
42,26,8,2,1,0,3,0,0,0,0,0,3,0.07142857142857142,7,0.16666666666666666,0,1,1,0,3,14,1
34,25,1,3,1,0,3,0,0,0,0,0,0,0.0,8,0.23529411764705882,0,1,2,0,2,9,0
41,15,18,2,0,0,5,0,0,0,0,0,0,0.0,8,0.1951219512195122,0,1,1,0,3,8,0
46,37,1,2,2,0,3,0,0,0,0,0,3,0.06521739130434782,8,0.17391304347826086,0,1,1,0,3,13,1
49,25,17,3,0,0,5,0,0,0,0,0,0,0.0,9,0.1836734693877551,0,0,2,0,3,8,1
54,16,30,2,1,0,4,0,0,0,0,0,0,0.0,8,0.14814814814814814,0,1,1,0,3,11,0
57,6,23,3,0,0,4,2,0,0,0,0,1,0.017543859649122806,10,0.17543859649122806,0,0,0,0,2,11,1
47,16,23,3,2,0,3,0,0,0,0,0,0,0.0,9,0.19148936170212766,0,1,1,0,3,8,0
51,31,13,3,1,0,3,0,0,0,0,0,10,0.19607843137254902,8,0.1568627450980392,0,0,1,0,2,10,1
48,12,28,3,1,1,4,0,0,0,0,0,0,0.0,10,0.20833333333333334,0,1,1,0,3,7,0
64,19,37,2,2,0,5,0,0,0,0,0,2,0.03125,10,0.15625,0,1,1,0,3,11,0
76,20,35,3,0,0,7,1,1,1,0,0,0,0.0,14,0.18421052631578946,0,0,0,1,3,16,1
37,24,5,3,0,0,3,0,0,0,0,0,0,0.0,7,0.1891891891891892,0,1,2,0,2,14,0
41,20,13,3,0,0,3,0,0,0,0,0,0,0.0,7,0.17073170731707318,0,1,1,0,3,12,0
34,20,6,2,1,0,4,0,0,0,0,0,0,0.0,8,0.23529411764705882,0,1,1,0,2,7,0
38,29,1,2,1,0,3,0,0,0,0,0,2,0.05263157894736842,7,0.18421052631578946,0,1,1,0,3,11,1
30,21,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.2,0,1,1,0,3,13,0
45,19,18,2,1,0,3,0,0,0,0,0,0,0.0,7,0.15555555555555556,0,1,1,0,3,11,0
99,22,70,2,1,1,11,0,0,0,0,0,0,0.0,16,0.16161616161616163,0,0,1,0,3,14,1
46,18,20,2,0,0,5,0,0,0,0,0,0,0.0,8,0.17391304347826086,0,1,1,0,3,10,0
68,18,42,2,3,0,5,0,0,0,0,0,0,0.0,11,0.16176470588235295,0,1,1,0,3,10,0
59,22,29,1,0,0,5,0,0,0,0,0,0,0.0,7,0.11864406779661017,0,1,0,0,4,17,1
30,10,12,2,1,0,3,0,0,0,0,0,0,0.0,7,0.23333333333333334,0,1,1,0,2,6,0
43,21,14,2,0,0,5,0,0,0,0,0,6,0.13953488372093023,10,0.23255813953488372,0,1,1,0,3,12,1
34,26,1,3,0,0,3,0,0,0,0,0,0,0.0,7,0.20588235294117646,0,0,2,0,2,13,1
101,19,74,6,2,0,6,0,0,0,0,0,3,0.0297029702970297,15,0.1485148514851485,0,1,0,0,3,15,1
62,21,33,2,3,0,4,0,0,0,0,0,3,0.04838709677419355,10,0.16129032258064516,0,1,1,0,3,13,0
100,36,13,3,1,0,3,1,1,0,0,0,22,0.22,10,0.1,0,1,1,0,3,32,1
31,14,9,2,1,0,4,0,0,0,0,0,0,0.0,8,0.25806451612903225,0,1,1,0,3,7,0
53,10,35,1,2,0,5,0,0,0,0,0,2,0.03773584905660377,9,0.16981132075471697,0,1,0,0,2,14,1
48,18,21,3,0,0,5,1,0,0,0,0,0,0.0,10,0.20833333333333334,0,1,0,0,3,14,1
40,19,13,3,1,0,3,0,0,0,0,0,8,0.2,8,0.2,0,1,2,0,2,12,1
65,47,10,4,1,0,3,0,0,0,0,0,0,0.0,9,0.13846153846153847,0,1,2,0,4,15,1
58,23,27,2,1,0,5,0,0,0,0,0,0,0.0,9,0.15517241379310345,0,1,1,0,3,15,0
50,35,7,2,1,0,3,0,0,0,0,0,0,0.0,7,0.14,0,1,1,0,3,11,1
46,30,8,2,1,0,3,0,0,0,0,0,0,0.0,7,0.15217391304347827,0,1,1,0,3,18,1
49,19,22,2,1,0,5,0,0,0,0,0,0,0.0,9,0.1836734693877551,0,1,1,0,3,11,0
67,22,37,3,1,1,4,0,0,0,0,0,4,0.05970149253731343,10,0.14925373134328357,0,1,1,0,2,19,1
38,18,12,3,0,0,4,0,0,0,0,0,0,0.0,8,0.21052631578947367,0,1,2,0,2,10,0
34,13,13,2,0,0,5,0,0,0,0,0,2,0.058823529411764705,8,0.23529411764705882,0,1,1,0,2,8,0
36,21,7,1,0,0,4,0,0,0,0,0,0,0.0,6,0.16666666666666666,0,1,0,0,3,17,1
97,11,7,5,0,0,10,2,1,0,0,0,3,0.030927835051546393,21,0.21649484536082475,0,0,0,0,2,9,1
35,25,2,2,1,0,3,0,0,0,0,0,0,0.0,7,0.2,0,1,1,0,3,7,1
63,21,35,2,0,1,5,0,0,0,0,0,4,0.06349206349206349,9,0.14285714285714285,0,0,0,0,3,17,1
37,12,17,2,0,0,4,0,0,0,0,0,4,0.10810810810810811,7,0.1891891891891892,0,1,1,0,3,11,0
40,18,14,2,0,0,3,0,0,0,0,0,0,0.0,6,0.15,0,1,0,0,3,14,0
45,15,22,4,0,0,4,0,0,0,0,0,0,0.0,9,0.2,0,1,2,0,2,14,0
40,23,9,1,0,0,5,0,0,0,0,0,0,0.0,7,0.175,0,1,0,0,3,19,0
48,14,26,1,1,0,5,0,0,0,0,0,0,0.0,8,0.16666666666666666,0,1,0,0,3,10,1
95,12,76,1,1,0,8,0,0,0,0,0,16,0.16842105263157894,11,0.11578947368421053,0,0,0,0,2,32,1
72,18,46,3,0,0,8,0,0,0,0,0,0,0.0,12,0.16666666666666666,0,1,1,0,3,10,0
30,13,9,2,0,0,4,0,0,0,0,0,0,0.0,7,0.23333333333333334,0,1,1,0,2,7,0
59,15,36,3,3,0,5,0,0,0,0,0,0,0.0,12,0.2033898305084746,0,1,1,0,3,8,0
47,23,16,2,2,0,5,0,0,0,0,0,0,0.0,10,0.2127659574468085,0,1,1,0,2,8,0
71,14,26,3,2,0,4,0,0,1,0,0,5,0.07042253521126761,12,0.16901408450704225,0,0,1,1,3,11,1
37,14,15,2,1,0,4,0,0,0,0,0,0,0.0,8,0.21621621621621623,0,1,1,0,3,7,0
58,34,16,14,1,0,3,0,0,0,0,0,0,0.0,19,0.3275862068965517,0,1,1,0,3,11,1
30,21,1,2,1,0,3,0,0,0,0,0,0,0.0,7,0.23333333333333334,0,1,1,0,3,6,0
42,20,14,4,1,0,3,0,0,0,0,0,0,0.0,9,0.21428571428571427,0,1,2,0,2,8,0
73,20,45,3,4,0,6,0,0,0,0,0,0,0.0,14,0.1917808219178082,0,1,2,0,2,9,0
31,18,6,1,0,0,3,0,0,0,0,0,3,0.0967741935483871,5,0.16129032258064516,0,0,0,0,3,14,1
43,27,8,2,0,0,3,0,0,0,0,0,0,0.0,6,0.13953488372093023,0,1,1,0,3,19,0
61,18,36,2,0,0,7,0,0,0,0,0,1,0.01639344262295082,13,0.21311475409836064,0,0,1,0,3,11,1
37,16,13,3,0,0,3,0,0,0,0,0,0,0.0,7,0.1891891891891892,0,1,2,0,2,12,0
95,14,61,4,2,0,10,1,0,0,0,0,8,0.08421052631578947,18,0.18947368421052632,0,0,2,0,2,12,1
48,16,24,3,0,0,4,0,0,0,0,0,7,0.14583333333333334,8,0.16666666666666666,0,1,1,0,2,9,1
45,25,12,3,0,0,4,0,0,0,0,0,0,0.0,8,0.17777777777777778,0,1,2,0,2,14,0
34,26,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.17647058823529413,0,0,1,0,3,14,1
34,11,15,2,2,0,4,0,0,0,0,0,0,0.0,9,0.2647058823529412,0,1,1,0,2,7,0
27,18,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.2222222222222222,0,1,1,0,3,10,0
70,63,0,6,0,0,2,0,0,0,0,0,1,0.014285714285714285,9,0.12857142857142856,0,0,5,0,2,28,1
43,20,15,3,1,0,3,0,0,0,0,0,8,0.18604651162790697,8,0.18604651162790697,0,1,2,0,2,14,1
54,28,14,2,1,0,4,1,1,0,0,0,1,0.018518518518518517,10,0.18518518518518517,0,1,1,0,3,8,1
36,21,7,1,0,0,3,0,0,0,0,0,0,0.0,5,0.1388888888888889,0,1,0,0,2,18,1
40,21,11,3,0,0,3,0,0,0,0,0,0,0.0,7,0.175,0,1,1,0,3,13,0
59,22,29,2,2,0,4,0,0,0,0,0,0,0.0,9,0.15254237288135594,0,1,1,0,3,14,0
467,18,10,2,0,0,4,1,1,0,0,0,62,0.13276231263383298,9,0.019271948608137045,0,1,1,0,3,427,1
36,18,10,2,1,0,3,0,0,0,0,0,0,0.0,7,0.19444444444444445,0,1,1,0,3,10,0
43,13,23,4,0,0,5,0,0,0,0,0,10,0.23255813953488372,10,0.23255813953488372,1,0,2,0,2,7,1
35,20,7,2,0,0,4,0,0,0,0,0,0,0.0,7,0.2,0,1,1,0,3,12,0
27,18,1,3,1,0,3,0,0,0,0,0,0,0.0,8,0.2962962962962963,0,1,2,0,2,5,0
30,10,13,1,0,0,4,0,0,0,0,0,0,0.0,6,0.2,0,0,0,0,2,8,1
58,9,42,1,0,0,5,0,0,0,0,0,18,0.3103448275862069,7,0.1206896551724138,0,0,0,0,2,32,1
82,34,11,5,0,0,3,0,0,1,0,0,4,0.04878048780487805,11,0.13414634146341464,0,1,2,1,3,14,1
26,17,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.23076923076923078,0,1,1,0,3,9,0
100,18,74,4,0,2,11,0,0,0,0,0,0,0.0,18,0.18,0,1,1,0,3,11,0
39,26,5,2,3,0,4,0,0,0,0,0,11,0.28205128205128205,10,0.2564102564102564,0,1,1,0,3,7,1
57,21,28,3,1,0,4,0,0,0,0,0,0,0.0,9,0.15789473684210525,0,1,1,0,3,13,0
27,12,7,2,0,0,3,0,0,0,0,0,0,0.0,6,0.2222222222222222,0,1,1,0,3,6,0
367,24,44,5,2,2,4,1,6,0,1,0,114,0.3106267029972752,26,0.07084468664850137,0,1,0,0,3,157,1
20,5,7,1,0,0,3,0,0,0,0,0,1,0.05,5,0.25,0,1,0,0,2,6,1
28,15,5,2,0,0,3,0,0,0,0,0,0,0.0,6,0.21428571428571427,0,1,1,0,3,7,0
45,10,28,3,0,0,5,0,0,0,0,0,0,0.0,9,0.2,0,0,0,0,3,7,1
40,20,13,1,0,0,4,0,0,0,0,0,1,0.025,6,0.15,0,0,0,0,3,16,1
35,19,8,2,0,0,3,0,0,0,0,0,0,0.0,6,0.17142857142857143,0,1,1,0,3,11,0
49,24,18,3,0,1,3,0,0,0,0,0,6,0.12244897959183673,8,0.16326530612244897,0,0,1,0,3,15,1
38,19,11,4,0,0,3,0,0,0,0,0,0,0.0,8,0.21052631578947367,0,1,2,0,2,8,0
31,22,1,1,0,0,3,0,0,0,0,0,0,0.0,5,0.16129032258064516,0,1,0,0,3,18,1
48,17,23,3,1,2,5,0,0,0,0,0,1,0.020833333333333332,12,0.25,0,1,2,0,2,11,0
44,14,22,3,1,0,3,0,0,0,0,0,0,0.0,8,0.18181818181818182,0,1,1,0,2,10,0
46,28,10,3,0,0,3,0,0,0,0,0,0,0.0,7,0.15217391304347827,0,1,2,0,4,13,1
24,6,11,1,1,0,3,0,0,0,0,0,0,0.0,6,0.25,0,0,0,0,2,6,1
41,12,21,2,1,0,4,0,0,0,0,0,0,0.0,8,0.1951219512195122,0,1,1,0,2,8,0
104,16,11,3,1,0,3,1,0,0,0,0,0,0.0,12,0.11538461538461539,0,1,1,0,2,34,1
481,34,59,3,13,4,7,1,5,0,4,0,94,0.19542619542619544,44,0.09147609147609148,0,1,1,0,3,202,1
75,19,15,5,1,1,4,1,1,0,0,0,17,0.22666666666666666,14,0.18666666666666668,0,1,1,0,3,17,1
33,20,6,2,0,0,3,0,0,0,0,0,5,0.15151515151515152,6,0.18181818181818182,0,0,1,0,4,8,1
31,14,9,2,1,0,4,0,0,0,0,0,0,0.0,8,0.25806451612903225,0,1,1,0,3,6,0
32,21,4,2,0,0,4,0,0,0,0,0,0,0.0,7,0.21875,0,0,1,0,3,13,1
29,20,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.20689655172413793,0,1,1,0,2,9,1
39,22,10,3,1,0,3,0,0,0,0,0,0,0.0,8,0.20512820512820512,0,0,1,0,2,9,1
26,13,5,2,0,0,4,0,0,0,0,0,0,0.0,7,0.2692307692307692,0,1,1,0,2,6,0
39,18,13,3,0,0,5,0,0,0,0,0,0,0.0,9,0.23076923076923078,0,1,2,0,2,8,0
97,33,13,3,1,0,3,1,1,0,0,0,23,0.23711340206185566,10,0.10309278350515463,0,1,1,0,2,32,1
38,12,18,1,1,0,5,0,0,0,0,0,3,0.07894736842105263,8,0.21052631578947367,0,1,0,0,2,7,1
54,17,29,2,2,0,5,0,0,0,0,0,0,0.0,10,0.18518518518518517,0,1,1,0,3,9,0
60,15,37,1,0,0,7,0,3,0,0,0,4,0.06666666666666667,12,0.2,0,1,0,0,2,12,1
21,13,1,1,0,0,3,0,0,0,0,0,0,0.0,5,0.23809523809523808,0,0,0,0,4,8,1
43,18,17,2,1,0,4,0,0,0,0,0,0,0.0,8,0.18604651162790697,0,1,1,0,2,11,0
25,16,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.24,0,1,1,0,3,8,0
42,16,18,1,0,1,5,0,0,0,0,0,1,0.023809523809523808,8,0.19047619047619047,0,1,0,0,2,13,1
22,13,1,3,0,0,3,0,0,0,0,0,0,0.0,7,0.3181818181818182,0,1,2,0,2,5,0
68,41,20,5,1,0,4,0,0,0,0,0,18,0.2647058823529412,11,0.16176470588235295,0,0,4,0,2,18,1
71,22,33,3,0,0,5,1,1,0,0,0,0,0.0,11,0.15492957746478872,0,1,1,0,2,17,1
96,34,13,3,1,0,3,1,1,0,0,0,19,0.19791666666666666,10,0.10416666666666667,0,0,1,0,3,32,1
101,16,16,2,0,0,3,1,0,0,0,0,0,0.0,7,0.06930693069306931,0,0,0,0,2,61,1
58,40,10,2,3,0,4,0,0,0,0,0,3,0.05172413793103448,10,0.1724137931034483,0,1,1,0,4,12,1
26,18,0,3,0,0,2,0,0,0,0,0,0,0.0,6,0.23076923076923078,0,1,2,0,3,6,1
71,18,45,1,2,0,4,0,0,0,0,0,28,0.39436619718309857,8,0.11267605633802817,0,1,0,0,3,40,1
109,21,61,4,1,2,9,1,1,1,0,0,0,0.0,20,0.1834862385321101,0,0,1,1,2,14,1
99,15,76,2,1,0,7,0,0,0,0,0,10,0.10101010101010101,11,0.1111111111111111,0,1,1,0,3,39,1
48,21,19,2,2,0,4,0,0,0,0,0,0,0.0,9,0.1875,0,1,1,0,3,13,0
113,15,76,2,1,1,7,1,1,0,0,0,8,0.07079646017699115,14,0.12389380530973451,0,1,1,0,3,30,1
72,23,41,3,0,0,9,0,0,0,0,0,10,0.1388888888888889,13,0.18055555555555555,0,1,1,0,2,17,1
26,17,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.23076923076923078,0,1,1,0,2,10,0
61,38,15,3,2,0,4,0,0,0,0,0,2,0.03278688524590164,12,0.19672131147540983,0,1,2,0,4,13,1
70,15,47,3,2,0,5,0,0,0,0,0,0,0.0,11,0.15714285714285714,0,1,2,0,2,13,0
33,25,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.18181818181818182,0,0,1,0,3,17,0
27,19,0,2,0,0,2,0,0,0,0,0,0,0.0,5,0.18518518518518517,0,1,1,0,3,8,1
56,25,23,3,1,0,5,0,0,0,0,0,6,0.10714285714285714,10,0.17857142857142858,0,1,1,0,3,12,1
42,28,7,1,2,0,3,0,0,0,0,0,0,0.0,7,0.16666666666666666,0,0,0,0,3,9,1
184,20,64,3,0,1,6,2,1,0,0,0,47,0.2554347826086957,14,0.07608695652173914,0,0,1,0,3,50,1
159,12,140,2,1,4,7,0,0,0,0,0,14,0.0880503144654088,15,0.09433962264150944,0,0,1,0,2,52,1
132,16,24,3,0,2,4,1,1,0,0,0,6,0.045454545454545456,12,0.09090909090909091,0,1,1,0,3,43,1
53,29,16,5,0,0,4,0,0,0,0,0,2,0.03773584905660377,10,0.18867924528301888,0,1,3,0,3,7,1
39,17,14,3,1,0,4,0,0,0,0,0,0,0.0,9,0.23076923076923078,0,1,2,0,2,6,0
85,11,67,6,0,0,7,0,0,0,0,0,0,0.0,14,0.16470588235294117,0,0,0,0,3,12,1
27,14,5,2,0,0,3,0,0,0,0,0,0,0.0,6,0.2222222222222222,0,1,1,0,3,6,0
33,25,1,3,1,0,3,0,0,0,0,0,0,0.0,8,0.24242424242424243,0,0,2,0,2,9,1
38,16,14,3,0,0,3,0,0,0,0,0,0,0.0,7,0.18421052631578946,0,1,1,0,3,8,0
26,12,6,2,0,0,4,0,0,0,0,0,0,0.0,7,0.2692307692307692,0,1,1,0,2,5,0
105,11,56,4,3,0,9,1,1,1,0,0,11,0.10476190476190476,20,0.19047619047619047,0,1,0,1,2,12,1
44,23,13,2,0,0,4,0,0,0,0,0,0,0.0,7,0.1590909090909091,0,1,1,0,3,15,0
25,16,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.24,0,1,1,0,3,8,0
33,18,7,2,0,0,4,0,0,0,0,0,0,0.0,7,0.21212121212121213,0,1,1,0,3,10,0
66,25,33,2,3,0,5,0,0,0,0,0,0,0.0,11,0.16666666666666666,0,1,1,0,3,17,0
64,23,33,2,2,0,5,0,0,0,0,0,0,0.0,10,0.15625,0,1,1,0,3,15,0
37,18,11,2,0,0,3,0,0,0,0,0,0,0.0,6,0.16216216216216217,0,1,1,0,3,10,0
20,11,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.3,0,1,1,0,2,5,0
45,25,12,3,0,0,3,0,0,0,0,0,0,0.0,7,0.15555555555555556,0,1,1,0,3,17,0
64,12,44,3,1,0,7,0,0,0,0,0,6,0.09375,12,0.1875,0,1,1,0,3,12,0
34,12,14,2,0,0,4,0,0,0,0,0,0,0.0,7,0.20588235294117646,0,1,1,0,2,12,0
80,30,42,3,1,0,4,0,1,0,0,0,21,0.2625,10,0.125,0,1,2,0,2,30,1
75,45,22,4,3,0,5,0,0,0,0,0,3,0.04,13,0.17333333333333334,0,1,1,0,3,10,1
45,25,12,2,1,0,4,0,0,0,0,0,0,0.0,8,0.17777777777777778,0,1,1,0,3,17,0
38,11,19,2,2,0,4,0,0,0,0,0,1,0.02631578947368421,9,0.23684210526315788,0,1,1,0,2,8,0
